Month of Year;Sessions
201001;54741
201002;25827
201003;61640
201004;47984
201005;19252
201006;45291
201007;21840
201008;51359
201009;48328
201010;50135
201011;19403
201012;15116
201101;48693
201102;5379
201103;31354
201104;44331
201105;93453
201106;101656
201107;24498
201108;6199
201109;36282
201110;36862
201111;54533
201112;27109
201201;56400
201202;47
201203;27836
201204;93114
201205;114641
201206;70746
201207;94493
201208;36568
201209;41607
201210;38082
201211;46443
201212;55907
201301;31263
201302;60608
201303;70927
201304;54350
201305;77107
201306;76507
201307;125143
201308;59217
201309;4853
201310;66324
201311;6601
201312;16508
201401;63729
201402;70433
201403;3759
201404;13322
201405;65924
201406;32008
201407;79472
201408;82289
201409;29963
201410;61517
201411;3208
201412;23275
201501;46
201502;46769
201503;6785
201504;112865
201505;131056
201506;118102
201507;166367
201508;43170
201509;52070
201510;64868
201511;16152
201512;54192
201601;21161
201602;89464
201603;19636
201604;95726
201605;100111
201606;94826
201607;68433
201608;53005
201609;39983
201610;3878
201611;34910
201612;41884
